block	time	key
0	1.92241927057	right
0	5.85755893013	left
0	10.224088267	right
0	18.0327098304	left
0	26.4833267883	right
0	35.3006303447	left
0	39.8927716666	right
0	43.309542948	left
0	46.027430546	right
0	50.2250520609	left
0	52.1935312014	right
0	55.9356461569	left
0	64.4941488686	right
0	71.2030417613	left
0	73.4289652512	right
0	78.6367007159	left
0	89.1688024778	right
0	91.6693785507	left
0	100.970518109	right
0	103.669788457	left
0	105.771428718	right
0	107.697236812	left
0	111.020883811	right
0	112.369627181	left
0	115.971943727	right
0	118.331536948	left
1	1.1598059614	right
1	9.51060641139	left
1	12.4522876748	right
1	17.027675343	left
1	22.944470923	right
1	32.1454308533	left
1	55.0708770343	right
1	68.5894850781	left
1	87.3720899416	right
1	116.674714582	left
2	0.951535022121	right
2	11.2760887656	left
2	20.8361634906	right
2	30.0033278508	left
2	36.9761185578	right
2	39.9764548141	left
2	45.1698489775	right
2	52.221313096	left
2	56.9301519583	right
2	63.597042997	left
2	72.3712767688	right
2	79.8067757759	left
2	89.0908577222	right
2	99.824388181	left
2	105.099984032	right
2	114.542446624	left
2	117.100904059	right
